QA output created by 1398

pcp-pidstat output: set reporting timezone to one for your choice
Linux  3.10.0-693.el7.x86_64  (localhost.localdomain)  06/20/18  x86_64    (4 CPU)
Timestamp        UID	PID	usr	system	guest	%CPU	CPU	Command
09:47:41         0	722	?	?	?	?	3	abrt-watch-log
09:47:41         0	723	?	?	?	?	2	abrt-watch-log
09:47:41         0	724	?	?	?	?	3	irqbalance
09:47:41         0	737	?	?	?	?	1	mcelog
09:47:41         0	750	?	?	?	?	3	ksmtuned
09:47:41         0	751	?	?	?	?	1	sleep
09:47:41         0	754	?	?	?	?	2	spice-vdagentd
09:47:41         70	757	?	?	?	?	0	avahi-daemon
09:47:41         0	771	?	?	?	?	1	gssproxy
09:47:41         0	781	?	?	?	?	3	firewalld
09:47:41         0	792	?	?	?	?	3	NetworkManager
09:47:41         0	823	?	?	?	?	2	kworker/2:3
09:47:41         0	828	?	?	?	?	1	systemd-hostnam
09:47:41         0	917	?	?	?	?	0	dhclient
09:47:41         0	1112	?	?	?	?	0	tuned
09:47:41         0	1118	?	?	?	?	1	sshd
09:47:41         0	1123	?	?	?	?	2	cupsd
09:47:41         0	1124	?	?	?	?	1	rhsmcertd
09:47:41         0	1132	?	?	?	?	1	libvirtd
09:47:41         0	1192	?	?	?	?	1	rhnsd
09:47:41         0	1204	?	?	?	?	2	atd
09:47:41         0	1206	?	?	?	?	3	crond
09:47:41         0	1207	?	?	?	?	0	gdm
09:47:41         0	1470	?	?	?	?	3	master
09:47:41         89	1471	?	?	?	?	2	pickup
09:47:41         89	1472	?	?	?	?	1	qmgr
09:47:41         387	1493	?	?	?	?	1	pmcd
09:47:41         0	1499	?	?	?	?	0	pmdaroot
09:47:41         387	1500	?	?	?	?	2	pmdaproc
09:47:41         0	1501	?	?	?	?	2	pmdaxfs
09:47:41         0	1502	?	?	?	?	1	pmdalinux
09:47:41         0	1503	?	?	?	?	3	python
09:47:41         0	1512	?	?	?	?	3	pmdadm
09:47:41         0	1625	?	?	?	?	?	pmlogger
09:47:41         0	1629	?	?	?	?	?	pmlogger_check
09:47:41         0	1858	?	?	?	?	?	pmlogger_check
09:47:41         387	1948	?	?	?	?	0	pmie
09:47:41         0	2464	?	?	?	?	3	X
09:47:41         0	2559	?	?	?	?	?	gdm-session-wor
09:47:41         42	2665	?	?	?	?	?	gnome-session-b
09:47:41         42	2710	?	?	?	?	?	dbus-launch
09:47:41         42	2730	?	?	?	?	?	dbus-daemon
09:47:41         42	2766	?	?	?	?	?	dbus-launch
09:47:41         42	2767	?	?	?	?	?	dbus-daemon
09:47:41         42	2824	?	?	?	?	?	at-spi-bus-laun
09:47:41         42	2836	?	?	?	?	?	dbus-daemon
09:47:41         42	2848	?	?	?	?	?	at-spi2-registr
09:47:41         42	2915	?	?	?	?	?	gnome-shell
09:47:41         0	3002	?	?	?	?	2	upowerd
09:47:41         42	3102	?	?	?	?	3	pulseaudio
09:47:41         0	3745	?	?	?	?	1	systemd-localed
09:47:41         42	3773	?	?	?	?	?	ibus-daemon
09:47:41         42	3796	?	?	?	?	?	ibus-dconf
09:47:41         42	3800	?	?	?	?	?	ibus-x11
09:47:41         994	3932	?	?	?	?	?	geoclue
09:47:41         42	3934	?	?	?	?	?	xdg-permission-
09:47:41         0	3956	?	?	?	?	1	wpa_supplicant
09:47:41         0	3972	?	?	?	?	0	packagekitd
09:47:41         42	3984	?	?	?	?	?	gnome-settings-
09:47:41         42	3986	?	?	?	?	0	spice-vdagent
09:47:41         997	4039	?	?	?	?	3	colord
09:47:41         0	4070	?	?	?	?	3	fprintd
