QA output created by 1242
Running pmlogextract archives/multi-xz/20150508.11.44 archives/multi-xz/20150508.11.46 archives/multi-xz/20150508.11.50 archives/multi-xz/20150508.11.57 TMP.44+46+50+57.pmlogextract
Running pmrep -a TMP.44+46+50+57.pmlogextract
  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes  n.i.i.bytes
      151.000        0.000        0.000        0.000       14.000
      150.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      150.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       13.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      150.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      150.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       13.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      150.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      151.000        0.000        0.000        0.000       14.000
      154.000        0.000        0.000        0.000       14.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      233.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      233.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      233.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      233.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      233.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      233.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      233.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      233.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      233.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      233.000        0.000        0.000        0.000       16.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
      234.000        0.000        0.000        0.000       15.000
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
          N/A          N/A          N/A          N/A          N/A
