QA output created by 1078

=== pcp-pidstat without filters
Linux  4.4.0-31-generic  (ram-Lenovo)  08/05/16  x86_64    (4 CPU)
Timestamp        UID	PID	usr	system	guest	%CPU	CPU	Command
07:35:06         111	909	?	?	?	?	0	avahi-daemon
07:35:06         109	913	?	?	?	?	2	whoopsie
07:35:06         0	917	?	?	?	?	2	systemd-logind
07:35:06         0	921	?	?	?	?	2	accounts-daemon
07:35:06         106	923	?	?	?	?	1	dbus-daemon
07:35:06         111	937	?	?	?	?	1	avahi-daemon
07:35:06         0	942	?	?	?	?	0	atd
07:35:06         0	945	?	?	?	?	3	NetworkManager
07:35:06         104	947	?	?	?	?	0	rsyslogd
07:35:06         0	950	?	?	?	?	2	acpid
07:35:06         0	958	?	?	?	?	2	cups-browsed
07:35:06         0	963	?	?	?	?	3	thermald
07:35:06         0	969	?	?	?	?	0	ModemManager
07:35:06         0	992	?	?	?	?	3	snapd
07:35:06         0	1083	?	?	?	?	2	irqbalance
07:35:06         0	1084	?	?	?	?	2	mdadm
07:35:06         0	1094	?	?	?	?	2	polkitd
07:35:06         0	1117	?	?	?	?	1	lightdm
07:35:06         0	1145	?	?	?	?	3	Xorg
07:35:06         124	1231	?	?	?	?	3	postgres
07:35:06         999	1233	?	?	?	?	1	pmcd
07:35:06         0	1235	?	?	?	?	2	pmdaroot
07:35:06         0	1236	?	?	?	?	3	wpa_supplicant
07:35:06         1000	1238	?	?	?	?	3	pmdaproc
07:35:06         0	1240	?	?	?	?	0	pmdaxfs
07:35:06         999	1241	?	?	?	?	2	pmdasample
07:35:06         0	1242	?	?	?	?	2	pmdalinux
07:35:06         999	1243	?	?	?	?	3	pmdasimple
07:35:06         124	1397	?	?	?	?	0	postgres
07:35:06         124	1398	?	?	?	?	0	postgres
07:35:06         124	1399	?	?	?	?	2	postgres
07:35:06         124	1400	?	?	?	?	3	postgres
07:35:06         124	1401	?	?	?	?	3	postgres
07:35:06         1000	2358	?	?	?	?	3	sh
07:35:06         1000	2360	?	?	?	?	0	make
07:35:06         0	3160	?	?	?	?	2	dhclient
07:35:06         65534	4979	?	?	?	?	0	dnsmasq
07:35:06         1000	5029	?	?	?	?	1	sh
07:35:06         1000	5031	?	?	?	?	0	make
07:35:06         1000	5034	?	?	?	?	0	sh
07:35:06         0	5077	?	?	?	?	0	agetty
07:35:06         122	5120	?	?	?	?	1	unbound
07:35:06         0	5157	?	?	?	?	3	lightdm
07:35:06         0	5222	?	?	?	?	0	upowerd
07:35:06         118	5227	?	?	?	?	1	rtkit-daemon
07:35:06         113	5261	?	?	?	?	3	colord
07:35:06         0	5312	?	?	?	?	0	apache2
07:35:06         1000	5401	?	?	?	?	3	systemd
07:35:06         1000	5402	?	?	?	?	3	(sd-pam
07:35:06         1000	5408	?	?	?	?	2	gnome-keyring-d
07:35:06         1000	5410	?	?	?	?	3	upstart
07:35:06         1000	5475	?	?	?	?	3	upstart-udev-br
07:35:06         1000	5488	?	?	?	?	1	dbus-daemon
07:35:06         1000	5500	?	?	?	?	3	window-stack-br
07:35:06         1000	5518	?	?	?	?	1	ibus-daemon
07:35:06         1000	5544	?	?	?	?	2	gvfsd
07:35:06         1000	5549	?	?	?	?	2	gvfsd-fuse
07:35:06         1000	5560	?	?	?	?	1	gpg-agent
07:35:06         1000	5562	?	?	?	?	0	ibus-dconf
07:35:06         1000	5563	?	?	?	?	3	ibus-ui-gtk3
07:35:06         1000	5565	?	?	?	?	1	ibus-x11
07:35:06         1000	5583	?	?	?	?	1	upstart-dbus-br
07:35:06         1000	5585	?	?	?	?	1	upstart-dbus-br
07:35:06         1000	5589	?	?	?	?	2	upstart-file-br
07:35:06         1000	5596	?	?	?	?	1	bamfdaemon
07:35:06         1000	5606	?	?	?	?	3	hud-service
07:35:06         1000	5608	?	?	?	?	2	unity-settings-
07:35:06         1000	5612	?	?	?	?	0	at-spi-bus-laun
07:35:06         1000	5614	?	?	?	?	2	gnome-session-b
07:35:06         1000	5622	?	?	?	?	0	dbus-daemon
07:35:06         1000	5624	?	?	?	?	0	unity-panel-ser
07:35:06         1000	5631	?	?	?	?	2	at-spi2-registr
07:35:06         1000	5639	?	?	?	?	1	compiz
07:35:06         1000	5640	?	?	?	?	0	ibus-engine-sim
07:35:06         1000	5661	?	?	?	?	1	dconf-service
07:35:06         1000	5663	?	?	?	?	2	syndaemon
07:35:06         1000	5683	?	?	?	?	2	pulseaudio
07:35:06         1000	5711	?	?	?	?	2	indicator-messa
07:35:06         1000	5712	?	?	?	?	2	indicator-bluet
07:35:06         1000	5713	?	?	?	?	2	indicator-power
07:35:06         1000	5714	?	?	?	?	0	indicator-datet
07:35:06         1000	5716	?	?	?	?	3	indicator-keybo
07:35:06         1000	5720	?	?	?	?	0	indicator-sound
07:35:06         1000	5721	?	?	?	?	2	indicator-print
07:35:06         1000	5724	?	?	?	?	3	indicator-sessi
07:35:06         1000	5748	?	?	?	?	0	nautilus
07:35:06         1000	5749	?	?	?	?	0	unity-fallback-
07:35:06         1000	5752	?	?	?	?	1	indicator-appli
07:35:06         1000	5753	?	?	?	?	2	polkit-gnome-au
07:35:06         1000	5764	?	?	?	?	2	nm-applet
07:35:06         1000	5767	?	?	?	?	2	gnome-software
07:35:06         1000	5771	?	?	?	?	1	evolution-sourc
07:35:06         1000	5794	?	?	?	?	1	artha
07:35:06         1000	5797	?	?	?	?	2	redshift
07:35:06         1000	5805	?	?	?	?	0	gvfs-udisks2-vo
07:35:06         123	5809	?	?	?	?	0	geoclue
07:35:06         0	5830	?	?	?	?	1	udisksd
07:35:06         1000	5841	?	?	?	?	1	gvfs-goa-volume
07:35:06         1000	5846	?	?	?	?	0	gvfs-afc-volume
07:35:06         1000	5852	?	?	?	?	1	gvfs-gphoto2-vo
07:35:06         1000	5871	?	?	?	?	2	gvfs-mtp-volume
07:35:06         0	5882	?	?	?	?	0	fwupd
07:35:06         1000	5895	?	?	?	?	2	gvfsd-trash
07:35:06         1000	5901	?	?	?	?	1	evolution-calen
07:35:06         1000	5921	?	?	?	?	0	evolution-calen
07:35:06         1000	5932	?	?	?	?	2	evolution-calen
07:35:06         1000	5933	?	?	?	?	1	evolution-addre
07:35:06         1000	5957	?	?	?	?	3	evolution-addre
07:35:06         1000	5997	?	?	?	?	3	zeitgeist-datah
07:35:06         1000	6004	?	?	?	?	1	sh
07:35:06         1000	6008	?	?	?	?	0	zeitgeist-daemo
07:35:06         1000	6015	?	?	?	?	2	zeitgeist-fts
07:35:06         1000	6051	?	?	?	?	0	atom
07:35:06         1000	6054	?	?	?	?	0	atom
07:35:06         1000	6065	?	?	?	?	3	gconfd-2
07:35:06         1000	6079	?	?	?	?	1	atom
07:35:06         1000	6092	?	?	?	?	0	atom
07:35:06         1000	6158	?	?	?	?	0	update-notifier
07:35:06         1000	6196	?	?	?	?	1	atom
07:35:06         1000	6737	?	?	?	?	0	slack
07:35:06         1000	6741	?	?	?	?	3	slack
07:35:06         1000	6804	?	?	?	?	0	slack
07:35:06         1000	6825	?	?	?	?	0	slack
07:35:06         1000	6937	?	?	?	?	2	slack
