QA output created by 816
Fri Aug  7 07:08:15	3081352.000	196906.000	398101564.000	276.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:08:30	3079480.000	196906.000	398087828.000	276.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:08:45	3079480.000	196906.000	398087828.000	276.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:09:00	3079480.000	196906.000	398087828.000	276.000	0.067	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:09:15	3079480.000	196906.000	398087828.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:09:30	3053840.000	196906.000	397990940.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:09:45	3053840.000	196906.000	397990940.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:10:00	3053840.000	196906.000	397990940.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:10:15	3053840.000	196906.000	397990940.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:10:30	3048264.000	196906.000	397952772.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:10:45	3048264.000	196906.000	397952772.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:11:00	3048264.000	196906.000	397952772.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:11:15	3048264.000	196906.000	397952772.000	275.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:11:30	3054848.000	196906.000	397931672.000	275.000	0.133	0.133	1786.067	2001.333	2001.333	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:11:45	3054848.000	196906.000	397931672.000	276.000	0.067	0.000	2806.133	3144.333	3144.333	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:12:00	3054848.000	196906.000	397931672.000	276.000	0.067	0.067	2806.133	3144.400	3144.400	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:12:15	3054848.000	196906.000	397931672.000	276.000	0.000	0.000	2806.133	3144.333	3144.333	0.000	0.000	0.000	13312160.000	38.000	3.000
Fri Aug  7 07:12:30	3057292.000	196906.000	397936012.000	276.000	0.067	0.067	1020.067	1143.067	1143.067	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:12:45	3057292.000	196906.000	397936012.000	276.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:13:00	3057292.000	196906.000	397936012.000	276.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:13:15	3057292.000	196906.000	397936012.000	276.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:13:30	3038164.000	196906.000	397916168.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:13:45	3038164.000	196906.000	397916168.000	275.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:14:00	3038164.000	196906.000	397916168.000	275.000	0.067	0.067	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:14:15	3038164.000	196906.000	397916168.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
Fri Aug  7 07:14:30	3045400.000	196906.000	397868620.000	275.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13437168.000	3.000	3.000
