QA output created by 064

=== pcp-pidstat with -f formatting of the timestamps
Linux  4.4.0-31-generic  (ram-Lenovo)  08/05/16  x86_64    (4 CPU)
Timestamp                 UID	PID	usr	system	guest	%CPU	CPU	Command
Fri Aug  5 07:35:06 2016  0	163	?	?	?	?	1	scsi_tmf_4
Fri Aug  5 07:35:06 2016  0	164	?	?	?	?	1	scsi_eh_5
Fri Aug  5 07:35:06 2016  0	165	?	?	?	?	1	scsi_tmf_5
Fri Aug  5 07:35:06 2016  0	166	?	?	?	?	0	kworker/u16:3
Fri Aug  5 07:35:06 2016  0	169	?	?	?	?	2	kfd_process_wq
Fri Aug  5 07:35:06 2016  0	172	?	?	?	?	1	ttm_swap
Fri Aug  5 07:35:06 2016  0	173	?	?	?	?	2	kworker/2:2
Fri Aug  5 07:35:06 2016  0	174	?	?	?	?	0	bioset
Fri Aug  5 07:35:06 2016  0	175	?	?	?	?	0	kworker/u16:5
Fri Aug  5 07:35:06 2016  0	176	?	?	?	?	3	bioset
Fri Aug  5 07:35:06 2016  0	250	?	?	?	?	1	raid5wq
Fri Aug  5 07:35:06 2016  0	280	?	?	?	?	0	bioset
Fri Aug  5 07:35:06 2016  0	306	?	?	?	?	1	kworker/1:1H
Fri Aug  5 07:35:06 2016  0	308	?	?	?	?	3	jbd2/sda8-8
Fri Aug  5 07:35:06 2016  0	309	?	?	?	?	0	ext4-rsv-conver
Fri Aug  5 07:35:06 2016  0	356	?	?	?	?	1	kauditd
Fri Aug  5 07:35:06 2016  0	367	?	?	?	?	3	systemd-journal
Fri Aug  5 07:35:06 2016  0	385	?	?	?	?	3	lvmetad
Fri Aug  5 07:35:06 2016  0	398	?	?	?	?	0	systemd-udevd
Fri Aug  5 07:35:06 2016  0	413	?	?	?	?	2	kworker/2:1H
Fri Aug  5 07:35:06 2016  0	463	?	?	?	?	0	irq/29-mei_me
Fri Aug  5 07:35:06 2016  0	464	?	?	?	?	3	edac-poller
Fri Aug  5 07:35:06 2016  0	482	?	?	?	?	0	kworker/0:1H
Fri Aug  5 07:35:06 2016  0	484	?	?	?	?	3	kworker/3:1H
Fri Aug  5 07:35:06 2016  0	577	?	?	?	?	3	cfg80211
Fri Aug  5 07:35:06 2016  0	631	?	?	?	?	0	wl_event_handle
Fri Aug  5 07:35:06 2016  0	636	?	?	?	?	1	kvm-irqfd-clean
Fri Aug  5 07:35:06 2016  0	667	?	?	?	?	1	kmemstick
Fri Aug  5 07:35:06 2016  0	668	?	?	?	?	3	rtsx_usb_ms_1
Fri Aug  5 07:35:06 2016  0	682	?	?	?	?	0	jbd2/sda10-8
Fri Aug  5 07:35:06 2016  0	683	?	?	?	?	2	ext4-rsv-conver
Fri Aug  5 07:35:06 2016  0	687	?	?	?	?	1	jbd2/sda9-8
Fri Aug  5 07:35:06 2016  0	688	?	?	?	?	0	ext4-rsv-conver
Fri Aug  5 07:35:06 2016  100	829	?	?	?	?	3	systemd-timesyn
Fri Aug  5 07:35:06 2016  0	905	?	?	?	?	0	cron
Fri Aug  5 07:35:06 2016  111	909	?	?	?	?	0	avahi-daemon
Fri Aug  5 07:35:06 2016  109	913	?	?	?	?	2	whoopsie
Fri Aug  5 07:35:06 2016  0	917	?	?	?	?	2	systemd-logind
Fri Aug  5 07:35:06 2016  0	921	?	?	?	?	2	accounts-daemon
Fri Aug  5 07:35:06 2016  106	923	?	?	?	?	1	dbus-daemon
Fri Aug  5 07:35:06 2016  111	937	?	?	?	?	1	avahi-daemon
Fri Aug  5 07:35:06 2016  0	942	?	?	?	?	0	atd
Fri Aug  5 07:35:06 2016  0	945	?	?	?	?	3	NetworkManager
Fri Aug  5 07:35:06 2016  104	947	?	?	?	?	0	rsyslogd
Fri Aug  5 07:35:06 2016  0	950	?	?	?	?	2	acpid
Fri Aug  5 07:35:06 2016  0	958	?	?	?	?	2	cups-browsed
Fri Aug  5 07:35:06 2016  0	963	?	?	?	?	3	thermald
Fri Aug  5 07:35:06 2016  0	969	?	?	?	?	0	ModemManager
Fri Aug  5 07:35:06 2016  0	992	?	?	?	?	3	snapd
Fri Aug  5 07:35:06 2016  0	1083	?	?	?	?	2	irqbalance
Fri Aug  5 07:35:06 2016  0	1084	?	?	?	?	2	mdadm
Fri Aug  5 07:35:06 2016  0	1094	?	?	?	?	2	polkitd
Fri Aug  5 07:35:06 2016  0	1117	?	?	?	?	1	lightdm
Fri Aug  5 07:35:06 2016  0	1145	?	?	?	?	3	Xorg
Fri Aug  5 07:35:06 2016  124	1231	?	?	?	?	3	postgres
Fri Aug  5 07:35:06 2016  999	1233	?	?	?	?	1	pmcd
Fri Aug  5 07:35:06 2016  0	1235	?	?	?	?	2	pmdaroot
Fri Aug  5 07:35:06 2016  0	1236	?	?	?	?	3	wpa_supplicant
Fri Aug  5 07:35:06 2016  1000	1238	?	?	?	?	3	pmdaproc
Fri Aug  5 07:35:06 2016  0	1240	?	?	?	?	0	pmdaxfs
Fri Aug  5 07:35:06 2016  999	1241	?	?	?	?	2	pmdasample
Fri Aug  5 07:35:06 2016  0	1242	?	?	?	?	2	pmdalinux
Fri Aug  5 07:35:06 2016  999	1243	?	?	?	?	3	pmdasimple
Fri Aug  5 07:35:06 2016  124	1397	?	?	?	?	0	postgres
Fri Aug  5 07:35:06 2016  124	1398	?	?	?	?	0	postgres
Fri Aug  5 07:35:06 2016  124	1399	?	?	?	?	2	postgres
Fri Aug  5 07:35:06 2016  124	1400	?	?	?	?	3	postgres
Fri Aug  5 07:35:06 2016  124	1401	?	?	?	?	3	postgres
Fri Aug  5 07:35:06 2016  1000	2358	?	?	?	?	3	sh
Fri Aug  5 07:35:06 2016  1000	2360	?	?	?	?	0	make
Fri Aug  5 07:35:06 2016  0	3160	?	?	?	?	2	dhclient
Fri Aug  5 07:35:06 2016  65534	4979	?	?	?	?	0	dnsmasq
Fri Aug  5 07:35:06 2016  1000	5029	?	?	?	?	1	sh
Fri Aug  5 07:35:06 2016  1000	5031	?	?	?	?	0	make
Fri Aug  5 07:35:06 2016  1000	5034	?	?	?	?	0	sh
Fri Aug  5 07:35:06 2016  0	5077	?	?	?	?	0	agetty
Fri Aug  5 07:35:06 2016  122	5120	?	?	?	?	1	unbound
Fri Aug  5 07:35:06 2016  0	5157	?	?	?	?	3	lightdm
Fri Aug  5 07:35:06 2016  0	5222	?	?	?	?	0	upowerd
Fri Aug  5 07:35:06 2016  118	5227	?	?	?	?	1	rtkit-daemon
Fri Aug  5 07:35:06 2016  113	5261	?	?	?	?	3	colord
Fri Aug  5 07:35:06 2016  0	5312	?	?	?	?	0	apache2
Fri Aug  5 07:35:06 2016  1000	5401	?	?	?	?	3	systemd
Fri Aug  5 07:35:06 2016  1000	5402	?	?	?	?	3	(sd-pam
Fri Aug  5 07:35:06 2016  1000	5408	?	?	?	?	2	gnome-keyring-d
Fri Aug  5 07:35:06 2016  1000	5410	?	?	?	?	3	upstart
Fri Aug  5 07:35:06 2016  1000	5475	?	?	?	?	3	upstart-udev-br
Fri Aug  5 07:35:06 2016  1000	5488	?	?	?	?	1	dbus-daemon
Fri Aug  5 07:35:06 2016  1000	5500	?	?	?	?	3	window-stack-br
Fri Aug  5 07:35:06 2016  1000	5518	?	?	?	?	1	ibus-daemon
Fri Aug  5 07:35:06 2016  1000	5544	?	?	?	?	2	gvfsd
Fri Aug  5 07:35:06 2016  1000	5549	?	?	?	?	2	gvfsd-fuse
Fri Aug  5 07:35:06 2016  1000	5560	?	?	?	?	1	gpg-agent
Fri Aug  5 07:35:06 2016  1000	5562	?	?	?	?	0	ibus-dconf
Fri Aug  5 07:35:06 2016  1000	5563	?	?	?	?	3	ibus-ui-gtk3
Fri Aug  5 07:35:06 2016  1000	5565	?	?	?	?	1	ibus-x11
Fri Aug  5 07:35:06 2016  1000	5583	?	?	?	?	1	upstart-dbus-br
Fri Aug  5 07:35:06 2016  1000	5585	?	?	?	?	1	upstart-dbus-br
Fri Aug  5 07:35:06 2016  1000	5589	?	?	?	?	2	upstart-file-br
