QA output created by 1469
QA output created by 1285 --valgrind
=== std out ===
Note: timezone set to local timezone of host "brolley-t530" from archive

proc.psinfo.rss ["031689 /var/lib/pcp/pmdas/proc/pmdaproc"] 0.000 Kbyte
proc.psinfo.rss ["031690 /var/lib/pcp/pmdas/xfs/pmdaxfs"] 0.000 Kbyte
proc.psinfo.rss ["031691 /var/lib/pcp/pmdas/sample/pmdasample"] 0.000 Kbyte
proc.psinfo.rss ["031692 /var/lib/pcp/pmdas/linux/pmdalinux"] 0.000 Kbyte
proc.psinfo.rss ["031693 perl"] 0.000 Kbyte
proc.psinfo.rss ["031694 /var/lib/pcp/pmdas/simple/pmdasimple"] 0.000 Kbyte
proc.psinfo.rss ["031720 sh"] 0.000 Kbyte
proc.psinfo.rss ["031721 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["031726 /usr/bin/pmie"] 0.000 Kbyte
proc.psinfo.rss ["008208 /usr/libexec/pcp/bin/pmcd"] 0.000 Kbyte
proc.psinfo.rss ["008211 /var/lib/pcp/pmdas/root/pmdaroot"] 0.000 Kbyte
proc.psinfo.rss ["008212 /var/lib/pcp/pmdas/proc/pmdaproc"] 0.000 Kbyte
proc.psinfo.rss ["008213 /var/lib/pcp/pmdas/xfs/pmdaxfs"] 0.000 Kbyte
proc.psinfo.rss ["008214 /var/lib/pcp/pmdas/sample/pmdasample"] 0.000 Kbyte
proc.psinfo.rss ["008215 /var/lib/pcp/pmdas/linux/pmdalinux"] 0.000 Kbyte
proc.psinfo.rss ["008216 perl"] 0.000 Kbyte
proc.psinfo.rss ["008217 /var/lib/pcp/pmdas/simple/pmdasimple"] 0.000 Kbyte
proc.psinfo.rss ["008243 sh"] 0.000 Kbyte
proc.psinfo.rss ["008244 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["008251 /usr/bin/pmie"] 0.000 Kbyte
proc.psinfo.rss ["008793 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["009664 sleep"] 0.000 Kbyte
proc.psinfo.rss ["016635 /usr/libexec/pcp/bin/pmcd"] 0.000 Kbyte
proc.psinfo.rss ["016638 /var/lib/pcp/pmdas/root/pmdaroot"] 0.000 Kbyte
proc.psinfo.rss ["016639 /var/lib/pcp/pmdas/proc/pmdaproc"] 0.000 Kbyte
proc.psinfo.rss ["016640 /var/lib/pcp/pmdas/xfs/pmdaxfs"] 0.000 Kbyte
proc.psinfo.rss ["016641 /var/lib/pcp/pmdas/sample/pmdasample"] 0.000 Kbyte
proc.psinfo.rss ["016642 /var/lib/pcp/pmdas/linux/pmdalinux"] 0.000 Kbyte
proc.psinfo.rss ["016643 perl"] 0.000 Kbyte
proc.psinfo.rss ["016644 /var/lib/pcp/pmdas/simple/pmdasimple"] 0.000 Kbyte
proc.psinfo.rss ["016675 sh"] 0.000 Kbyte
proc.psinfo.rss ["016676 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["016681 /usr/bin/pmie"] 0.000 Kbyte
proc.psinfo.rss ["020275 sleep"] 0.000 Kbyte
proc.psinfo.rss ["025167 /usr/libexec/pcp/bin/pmcd"] 5912.096 Kbyte
proc.psinfo.rss ["025170 /var/lib/pcp/pmdas/root/pmdaroot"] 5324.000 Kbyte
proc.psinfo.rss ["025171 /var/lib/pcp/pmdas/proc/pmdaproc"] 6306.146 Kbyte
proc.psinfo.rss ["025172 /var/lib/pcp/pmdas/xfs/pmdaxfs"] 3700.000 Kbyte
proc.psinfo.rss ["025173 /var/lib/pcp/pmdas/sample/pmdasample"] 5364.000 Kbyte
proc.psinfo.rss ["025174 /var/lib/pcp/pmdas/linux/pmdalinux"] 5420.054 Kbyte
proc.psinfo.rss ["025175 perl"] 9712.000 Kbyte
proc.psinfo.rss ["025176 /var/lib/pcp/pmdas/simple/pmdasimple"] 5432.000 Kbyte
proc.psinfo.rss ["025194 sleep"] 824.000 Kbyte
proc.psinfo.rss ["025197 /usr/bin/pmie"] 5828.000 Kbyte
proc.psinfo.rss ["025223 /usr/bin/pmlogger"] 0.000 Kbyte
proc.psinfo.rss ["025225 /usr/bin/sudo"] 0.000 Kbyte
proc.psinfo.rss ["025624 /usr/libexec/pcp/bin/pmcd"] 6060.000 Kbyte
proc.psinfo.rss ["025627 /var/lib/pcp/pmdas/root/pmdaroot"] 5204.000 Kbyte
proc.psinfo.rss ["025628 /var/lib/pcp/pmdas/proc/pmdaproc"] 6754.523 Kbyte
proc.psinfo.rss ["025629 /var/lib/pcp/pmdas/xfs/pmdaxfs"] 3632.000 Kbyte
proc.psinfo.rss ["025630 /var/lib/pcp/pmdas/sample/pmdasample"] 5196.000 Kbyte
proc.psinfo.rss ["025631 /var/lib/pcp/pmdas/linux/pmdalinux"] 5818.313 Kbyte
proc.psinfo.rss ["025632 perl"] 9748.000 Kbyte
proc.psinfo.rss ["025633 /var/lib/pcp/pmdas/simple/pmdasimple"] 5200.000 Kbyte
proc.psinfo.rss ["025660 sleep"] 804.000 Kbyte
proc.psinfo.rss ["025679 python3"] 20068.000 Kbyte
proc.psinfo.rss ["025680 (pminfo)"] 0.000 Kbyte
proc.psinfo.rss ["025681 /usr/bin/pmie"] 5784.000 Kbyte
proc.psinfo.rss ["025682 (pcp-summary)"] 0.000 Kbyte
proc.psinfo.rss ["025683 pmstat"] 3516.000 Kbyte
proc.psinfo.rss ["025753 /usr/bin/pmlogger"] 6560.000 Kbyte
proc.psinfo.rss ["025961 /usr/bin/pmlogger"] 6892.000 Kbyte
proc.psinfo.rss ["026065 (kworker/1:1)"] 0.000 Kbyte
proc.psinfo.rss ["026066 (kworker/1:2)"] 0.000 Kbyte
proc.psinfo.rss ["026067 (kworker/1:4)"] 0.000 Kbyte
proc.psinfo.rss ["026179 /usr/bin/pmlogger"] 6896.000 Kbyte
proc.psinfo.rss ["026202 /bin/sh"] 0.000 Kbyte
proc.psinfo.rss ["026392 /usr/bin/pmlogger"] 7212.000 Kbyte
proc.psinfo.rss ["026642 /usr/bin/pmlogger"] 6844.000 Kbyte
proc.psinfo.rss ["026644 (kworker/0:0)"] 0.000 Kbyte
proc.psinfo.rss ["027072 /usr/bin/pmlogger"] 0.000 Kbyte
proc.psinfo.rss ["027155 /usr/bin/pmlogger"] 6884.000 Kbyte
proc.psinfo.rss ["027187 (kworker/u17:2)"] 0.000 Kbyte
proc.psinfo.rss ["027406 /usr/bin/pmlogger"] 6960.000 Kbyte
proc.psinfo.rss ["027529 (kworker/0:3)"] 0.000 Kbyte
proc.psinfo.rss ["027530 (kworker/0:4)"] 0.000 Kbyte
proc.psinfo.rss ["027531 (kworker/0:5)"] 0.000 Kbyte
proc.psinfo.rss ["027644 /usr/bin/pmlogger"] 0.000 Kbyte
proc.psinfo.rss ["027666 (pcp-summary)"] 0.000 Kbyte
=== std err ===
=== filtered valgrind report ===
Memcheck, a memory error detector
Command: pmlogsummary -z archives/20180127.08.40 proc.psinfo.rss
LEAK SUMMARY:
definitely lost: 0 bytes in 0 blocks
indirectly lost: 0 bytes in 0 blocks
ERROR SUMMARY: 0 errors from 0 contexts ...
