QA output created by 1469
QA output created by 1285 --valgrind
=== std out ===
Note: timezone set to local timezone of host "brolley-t530" from archive

proc.psinfo.rss ["000899 (kdmflush)"] 0.000 Kbyte
proc.psinfo.rss ["000900 (bioset)"] 0.000 Kbyte
proc.psinfo.rss ["000919 (jbd2/sda1-8)"] 0.000 Kbyte
proc.psinfo.rss ["000920 (ext4-rsv-conver)"] 0.000 Kbyte
proc.psinfo.rss ["000925 (jbd2/dm-3-8)"] 0.000 Kbyte
proc.psinfo.rss ["000926 (ext4-rsv-conver)"] 0.000 Kbyte
proc.psinfo.rss ["000941 (kworker/0:0)"] 0.000 Kbyte
proc.psinfo.rss ["000952 (rpciod)"] 0.000 Kbyte
proc.psinfo.rss ["000953 (xprtiod)"] 0.000 Kbyte
proc.psinfo.rss ["000956 /sbin/auditd"] 140.000 Kbyte
proc.psinfo.rss ["000958 /sbin/audispd"] 2420.000 Kbyte
proc.psinfo.rss ["000960 /usr/sbin/sedispatch"] 5672.000 Kbyte
proc.psinfo.rss ["000977 /sbin/rngd"] 64.000 Kbyte
proc.psinfo.rss ["000978 /usr/sbin/alsactl"] 144.000 Kbyte
proc.psinfo.rss ["000980 /usr/libexec/rtkit-daemon"] 0.000 Kbyte
proc.psinfo.rss ["000982 /usr/libexec/accounts-daemon"] 720.000 Kbyte
proc.psinfo.rss ["000983 /usr/bin/dbus-daemon"] 4300.000 Kbyte
proc.psinfo.rss ["000992 /usr/bin/python3"] 9888.000 Kbyte
proc.psinfo.rss ["000993 /usr/libexec/bluetooth/bluetoothd"] 280.000 Kbyte
proc.psinfo.rss ["000995 avahi-daemon:"] 340.000 Kbyte
proc.psinfo.rss ["000996 /usr/libexec/udisks2/udisksd"] 5080.000 Kbyte
proc.psinfo.rss ["000997 /usr/lib/systemd/systemd-logind"] 3988.000 Kbyte
proc.psinfo.rss ["000998 /usr/sbin/mcelog"] 0.000 Kbyte
proc.psinfo.rss ["001000 /usr/sbin/ModemManager"] 1700.000 Kbyte
proc.psinfo.rss ["001001 /usr/sbin/abrtd"] 2996.000 Kbyte
proc.psinfo.rss ["001016 /usr/lib/polkit-1/polkitd"] 13032.000 Kbyte
proc.psinfo.rss ["001020 /usr/sbin/gssproxy"] 0.000 Kbyte
proc.psinfo.rss ["001022 /usr/sbin/chronyd"] 1552.000 Kbyte
proc.psinfo.rss ["001023 avahi-daemon:"] 4.000 Kbyte
proc.psinfo.rss ["001047 /usr/bin/abrt-dump-journal-oops"] 4760.000 Kbyte
proc.psinfo.rss ["001048 /usr/bin/abrt-dump-journal-xorg"] 3332.000 Kbyte
proc.psinfo.rss ["001049 /usr/bin/abrt-dump-journal-core"] 3668.000 Kbyte
proc.psinfo.rss ["001051 /usr/sbin/NetworkManager"] 8704.000 Kbyte
proc.psinfo.rss ["001067 (kworker/u16:2)"] 0.000 Kbyte
proc.psinfo.rss ["001071 /usr/sbin/libvirtd"] 728.000 Kbyte
proc.psinfo.rss ["001073 /usr/sbin/sshd"] 0.000 Kbyte
proc.psinfo.rss ["001078 (kworker/2:0)"] 0.000 Kbyte
proc.psinfo.rss ["001079 /usr/sbin/gdm"] 1872.000 Kbyte
proc.psinfo.rss ["001089 /usr/sbin/crond"] 1508.000 Kbyte
proc.psinfo.rss ["001090 /usr/sbin/atd"] 528.000 Kbyte
proc.psinfo.rss ["001124 gdm-session-worker"] 508.000 Kbyte
proc.psinfo.rss ["001142 /bin/sh"] 4680.000 Kbyte
proc.psinfo.rss ["001143 tee"] 708.000 Kbyte
proc.psinfo.rss ["001175 /usr/sbin/wpa_supplicant"] 1008.000 Kbyte
proc.psinfo.rss ["001219 /usr/lib/systemd/systemd"] 708.000 Kbyte
proc.psinfo.rss ["001221 (sd-pam)"] 8.000 Kbyte
proc.psinfo.rss ["001230 /usr/libexec/gdm-wayland-session"] 0.000 Kbyte
proc.psinfo.rss ["001240 /usr/bin/dbus-daemon"] 848.000 Kbyte
proc.psinfo.rss ["001255 /usr/libexec/gnome-session-binary"] 1256.000 Kbyte
proc.psinfo.rss ["001268 /usr/bin/gnome-shell"] 63708.000 Kbyte
proc.psinfo.rss ["001337 /usr/libexec/upowerd"] 3052.000 Kbyte
proc.psinfo.rss ["001434 /usr/bin/Xwayland"] 1212.000 Kbyte
proc.psinfo.rss ["001475 /usr/sbin/dnsmasq"] 100.000 Kbyte
proc.psinfo.rss ["001476 /usr/sbin/dnsmasq"] 4.000 Kbyte
proc.psinfo.rss ["001554 /usr/libexec/at-spi-bus-launcher"] 0.000 Kbyte
proc.psinfo.rss ["001559 /bin/dbus-daemon"] 0.000 Kbyte
proc.psinfo.rss ["001562 /usr/libexec/at-spi2-registryd"] 64.000 Kbyte
proc.psinfo.rss ["001568 /usr/bin/pulseaudio"] 256.000 Kbyte
proc.psinfo.rss ["001588 /usr/libexec/xdg-permission-store"] 0.000 Kbyte
proc.psinfo.rss ["001593 ibus-daemon"] 108.000 Kbyte
proc.psinfo.rss ["001596 /usr/libexec/ibus-dconf"] 0.000 Kbyte
proc.psinfo.rss ["001599 /usr/libexec/ibus-x11"] 960.000 Kbyte
proc.psinfo.rss ["001604 /usr/libexec/ibus-portal"] 0.000 Kbyte
proc.psinfo.rss ["001617 /usr/libexec/gsd-wacom"] 1628.000 Kbyte
proc.psinfo.rss ["001622 /usr/libexec/gsd-xsettings"] 2056.000 Kbyte
proc.psinfo.rss ["001624 /usr/libexec/gsd-a11y-keyboard"] 932.000 Kbyte
proc.psinfo.rss ["001625 /usr/libexec/gsd-a11y-settings"] 0.000 Kbyte
proc.psinfo.rss ["001629 /usr/libexec/gsd-clipboard"] 964.000 Kbyte
proc.psinfo.rss ["001630 /usr/libexec/gsd-color"] 6197.801 Kbyte
proc.psinfo.rss ["001633 /usr/libexec/gsd-datetime"] 0.000 Kbyte
proc.psinfo.rss ["001638 /usr/libexec/gsd-housekeeping"] 0.000 Kbyte
proc.psinfo.rss ["001639 /usr/libexec/gsd-keyboard"] 880.000 Kbyte
proc.psinfo.rss ["001645 /usr/libexec/gsd-media-keys"] 3932.000 Kbyte
proc.psinfo.rss ["001646 /usr/libexec/gsd-mouse"] 0.000 Kbyte
proc.psinfo.rss ["001647 /usr/libexec/gsd-power"] 4216.000 Kbyte
proc.psinfo.rss ["001650 /usr/libexec/gsd-print-notifications"] 0.000 Kbyte
proc.psinfo.rss ["001652 /usr/libexec/gsd-rfkill"] 0.000 Kbyte
proc.psinfo.rss ["001653 /usr/libexec/gsd-screensaver-proxy"] 0.000 Kbyte
proc.psinfo.rss ["001656 /usr/libexec/gsd-sharing"] 0.000 Kbyte
proc.psinfo.rss ["001659 /usr/libexec/gsd-smartcard"] 0.000 Kbyte
proc.psinfo.rss ["001666 /usr/libexec/gsd-sound"] 0.000 Kbyte
proc.psinfo.rss ["001681 /usr/libexec/ibus-engine-simple"] 0.000 Kbyte
proc.psinfo.rss ["001729 /usr/libexec/colord"] 796.000 Kbyte
proc.psinfo.rss ["001776 gdm-session-worker"] 5560.000 Kbyte
proc.psinfo.rss ["001784 /usr/lib/systemd/systemd"] 888.000 Kbyte
proc.psinfo.rss ["001789 (sd-pam)"] 8.000 Kbyte
proc.psinfo.rss ["001800 /usr/bin/gnome-keyring-daemon"] 4020.000 Kbyte
proc.psinfo.rss ["001804 /usr/libexec/gdm-wayland-session"] 0.000 Kbyte
proc.psinfo.rss ["001806 /usr/bin/dbus-daemon"] 3580.000 Kbyte
proc.psinfo.rss ["001809 /usr/libexec/gnome-session-binary"] 4868.000 Kbyte
proc.psinfo.rss ["001906 /usr/libexec/gvfsd"] 2432.000 Kbyte
proc.psinfo.rss ["001911 /usr/libexec/gvfsd-fuse"] 288.000 Kbyte
proc.psinfo.rss ["001932 /usr/bin/gnome-shell"] 692989.803 Kbyte
proc.psinfo.rss ["001948 /usr/bin/Xwayland"] 118172.000 Kbyte
proc.psinfo.rss ["001954 /usr/libexec/at-spi-bus-launcher"] 196.000 Kbyte
proc.psinfo.rss ["001959 /bin/dbus-daemon"] 848.000 Kbyte
proc.psinfo.rss ["001962 /usr/libexec/at-spi2-registryd"] 384.000 Kbyte
proc.psinfo.rss ["001968 /usr/bin/pulseaudio"] 11872.000 Kbyte
proc.psinfo.rss ["001988 (krfcommd)"] 0.000 Kbyte
proc.psinfo.rss ["001989 /usr/libexec/xdg-permission-store"] 0.000 Kbyte
proc.psinfo.rss ["001991 /usr/libexec/gnome-shell-calendar-server"] 880.000 Kbyte
proc.psinfo.rss ["001995 ibus-daemon"] 25780.000 Kbyte
proc.psinfo.rss ["001999 /usr/libexec/ibus-dconf"] 0.000 Kbyte
proc.psinfo.rss ["002001 /usr/libexec/ibus-x11"] 8928.000 Kbyte
proc.psinfo.rss ["002003 /usr/libexec/ibus-portal"] 420.000 Kbyte
proc.psinfo.rss ["002015 /usr/libexec/geoclue"] 2408.000 Kbyte
proc.psinfo.rss ["002021 /usr/libexec/dconf-service"] 1864.000 Kbyte
proc.psinfo.rss ["002024 /usr/libexec/gvfs-udisks2-volume-monitor"] 4396.000 Kbyte
proc.psinfo.rss ["002031 /usr/libexec/gvfs-gphoto2-volume-monitor"] 328.000 Kbyte
proc.psinfo.rss ["002035 /usr/libexec/gvfs-goa-volume-monitor"] 396.000 Kbyte
proc.psinfo.rss ["002039 /usr/libexec/goa-daemon"] 620.000 Kbyte
proc.psinfo.rss ["002051 /usr/libexec/goa-identity-service"] 408.000 Kbyte
proc.psinfo.rss ["002052 /usr/libexec/evolution-source-registry"] 1268.000 Kbyte
proc.psinfo.rss ["002057 /usr/libexec/gvfs-afc-volume-monitor"] 420.000 Kbyte
proc.psinfo.rss ["002062 /usr/libexec/gvfs-mtp-volume-monitor"] 496.000 Kbyte
proc.psinfo.rss ["002072 /usr/libexec/gsd-mouse"] 488.000 Kbyte
proc.psinfo.rss ["002073 /usr/libexec/gsd-power"] 4752.000 Kbyte
proc.psinfo.rss ["002075 /usr/libexec/gsd-print-notifications"] 740.000 Kbyte
proc.psinfo.rss ["002077 /usr/libexec/gsd-rfkill"] 508.000 Kbyte
proc.psinfo.rss ["002078 /usr/libexec/gsd-screensaver-proxy"] 592.000 Kbyte
proc.psinfo.rss ["002089 /usr/libexec/gsd-wacom"] 1984.000 Kbyte
proc.psinfo.rss ["002091 /usr/libexec/gsd-xsettings"] 2136.000 Kbyte
proc.psinfo.rss ["002092 /usr/libexec/gsd-sharing"] 1736.000 Kbyte
proc.psinfo.rss ["002093 /usr/libexec/gsd-sound"] 396.000 Kbyte
proc.psinfo.rss ["002097 /usr/libexec/gsd-smartcard"] 332.000 Kbyte
proc.psinfo.rss ["002106 /usr/libexec/gsd-a11y-keyboard"] 1480.000 Kbyte
proc.psinfo.rss ["002107 /usr/libexec/gsd-a11y-settings"] 856.000 Kbyte
proc.psinfo.rss ["002108 /usr/libexec/gsd-clipboard"] 1528.000 Kbyte
proc.psinfo.rss ["002109 /usr/libexec/gsd-color"] 7436.000 Kbyte
proc.psinfo.rss ["002110 /usr/libexec/gsd-datetime"] 2140.000 Kbyte
proc.psinfo.rss ["002111 /usr/libexec/gsd-housekeeping"] 2784.000 Kbyte
proc.psinfo.rss ["002114 /usr/libexec/gsd-keyboard"] 1652.000 Kbyte
proc.psinfo.rss ["002115 /usr/libexec/gsd-media-keys"] 6632.000 Kbyte
proc.psinfo.rss ["002172 /usr/sbin/cupsd"] 880.000 Kbyte
proc.psinfo.rss ["002173 /usr/libexec/ibus-engine-simple"] 528.000 Kbyte
proc.psinfo.rss ["002254 /usr/libexec/tracker-store"] 21076.000 Kbyte
proc.psinfo.rss ["002269 /usr/libexec/evolution/evolution-alarm-notify"] 5092.000 Kbyte
proc.psinfo.rss ["002271 /usr/libexec/gsd-disk-utility-notify"] 3004.000 Kbyte
proc.psinfo.rss ["002272 /usr/bin/gnome-software"] 117120.000 Kbyte
proc.psinfo.rss ["002284 /usr/libexec/tracker-miner-fs"] 6944.000 Kbyte
proc.psinfo.rss ["002291 /usr/libexec/evolution-calendar-factory"] 0.000 Kbyte
proc.psinfo.rss ["002293 /usr/libexec/tracker-miner-apps"] 2320.000 Kbyte
proc.psinfo.rss ["002298 /usr/bin/seapplet"] 584.000 Kbyte
proc.psinfo.rss ["002302 /usr/libexec/tracker-extract"] 9984.000 Kbyte
proc.psinfo.rss ["002339 /usr/libexec/gsd-printer"] 2304.000 Kbyte
proc.psinfo.rss ["002371 /usr/libexec/evolution-calendar-factory-subprocess"] 1396.000 Kbyte
proc.psinfo.rss ["002387 /usr/libexec/evolution-calendar-factory-subprocess"] 1424.000 Kbyte
proc.psinfo.rss ["002388 /usr/libexec/evolution-addressbook-factory"] 604.000 Kbyte
proc.psinfo.rss ["002426 /usr/libexec/evolution-addressbook-factory-subprocess"] 1348.000 Kbyte
proc.psinfo.rss ["002480 /usr/libexec/fwupd/fwupd"] 3268.000 Kbyte
proc.psinfo.rss ["002528 /usr/libexec/gvfsd-trash"] 3316.000 Kbyte
proc.psinfo.rss ["002557 /usr/libexec/gvfsd-metadata"] 5548.000 Kbyte
proc.psinfo.rss ["002905 /usr/lib64/thunderbird/thunderbird"] 470483.643 Kbyte
proc.psinfo.rss ["003177 (kworker/u17:5)"] 0.000 Kbyte
proc.psinfo.rss ["003608 /usr/libexec/gnome-terminal-server"] 76444.000 Kbyte
proc.psinfo.rss ["003614 bash"] 2700.000 Kbyte
proc.psinfo.rss ["004953 emacs"] 84124.000 Kbyte
proc.psinfo.rss ["004960 /usr/libexec/gconfd-2"] 116.000 Kbyte
proc.psinfo.rss ["005167 bash"] 816.000 Kbyte
proc.psinfo.rss ["005270 bash"] 3476.000 Kbyte
proc.psinfo.rss ["005506 /usr/libexec/pcp/bin/pmwebd"] 562432.000 Kbyte
proc.psinfo.rss ["006029 (kworker/0:1)"] 0.000 Kbyte
