QA output created by 1312
QA output created by 1311 --valgrind
=== std out ===
Thu Apr  8 18:04:03	560.000	294.000	266.000	266.000	264.000
Thu Apr  8 18:04:04	560.000	294.000	266.000	266.000	264.000
Thu Apr  8 18:04:05	560.000	294.000	266.000	266.000	264.000
Thu Apr  8 18:04:06	560.000	294.000	266.000	266.000	264.000
Thu Apr  8 18:04:07	560.000	294.000	266.000	266.000	264.000
Thu Apr  8 18:04:08	560.000	294.000	266.000	266.000	264.000
Thu Apr  8 18:04:09	560.000	294.000	266.000	266.000	264.000
Thu Apr  8 18:04:10	552.000	294.000	258.000	258.000	258.000
Thu Apr  8 18:04:11	552.000	294.000	258.000	258.000	258.000
Thu Apr  8 18:04:12	552.000	294.000	258.000	258.000	258.000
Thu Apr  8 18:04:13	552.000	294.000	258.000	258.000	258.000
Thu Apr  8 18:04:14	552.000	294.000	258.000	258.000	258.000
=== std err ===
=== filtered valgrind report ===
Memcheck, a memory error detector
Command: pmdumptext -z -a archives/runq qa.a qa.b qa.c qa.d qa.e
LEAK SUMMARY:
definitely lost: 0 bytes in 0 blocks
indirectly lost: 0 bytes in 0 blocks
ERROR SUMMARY: 0 errors from 0 contexts ...
