QA output created by 1303
Device Mapper
--dmcache1- ----system----
 read  writ|     time     
 903k    0 : 942k  316k:  11M 1138k|01-08 14:34:55.247
 311k    0 :2476k  796k:6331k 3008k|01-08 14:34:56.247
 393k    0 :1727k 3593k:  11M   38M|01-08 14:34:57.247
 510k    0 :4311k 1359k:  12M   28M|01-08 14:34:58.247
2048B    0 :  14k 4096B:  31k   52k|01-08 14:34:59.247
   0     0 :   0  4096B:   0    28k|01-08 14:35:00.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:01.247
   0     0 : 768k 2051k: 768k   31M|01-08 14:35:02.247
   0     0 :1829k 1669k:1829k   15M|01-08 14:35:03.247
   0     0 :  13M 1492k:  13M   17M|01-08 14:35:04.247
   0     0 :   0  4096B:   0    24k|01-08 14:35:05.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:06.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:07.247
   0     0 :   0  4096B:   0   148k|01-08 14:35:08.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:09.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:10.247
   0     0 :   0  4096B:   0    20k|01-08 14:35:11.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:12.247
   0     0 :   0  4096B:1024B  260k|01-08 14:35:13.247
   0     0 :   0  4096B:1531k 8192B|01-08 14:35:14.247
   0     0 :4608k  196k:4612k 5136k|01-08 14:35:15.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:16.247
   0     0 :   0  4096B:   0   124k|01-08 14:35:17.247
   0     0 :   0  4096B:   0  9216B|01-08 14:35:18.247
   0  7168B:   0  4096B:7168B  212k|01-08 14:35:19.247
   0  2143k:   0  3072B:2143k 2819k|01-08 14:35:20.247
   0  3482k:   0  5120B:3482k 4472k|01-08 14:35:21.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:22.247
   0     0 :   0  4096B:   0    28k|01-08 14:35:23.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:24.247
   0     0 :   0  4096B:   0  8192B|01-08 14:35:25.247
   0     0 :   0  4096B: 316k   38k|01-08 14:35:26.247
   0     0 :1024B 5120B:5454k 2495k|01-08 14:35:27.247
   0     0 : 511k  215k: 717k 9262k|01-08 14:35:28.247
   0     0 :   0  4096B: 795k  983k|01-08 14:35:29.247
   0     0 :   0  4096B:1503k  756k|01-08 14:35:30.247
   0     0 :   0  4096B: 435k  960k|01-08 14:35:31.247
   0     0 :   0  4096B: 178k  908k|01-08 14:35:32.247
   0     0 : 512k  132k: 742k 5406k|01-08 14:35:33.247
   0     0 :   0  4096B: 165k  879k|01-08 14:35:34.247
   0     0 :   0  4096B: 151k  973k|01-08 14:35:35.247
   0     0 :   0  4096B: 289k 1015k|01-08 14:35:36.247
   0     0 :   0  4096B: 275k 1177k|01-08 14:35:37.247
   0     0 :   0  4096B: 148k  957k|01-08 14:35:38.247
   0     0 :   0  4096B: 168k 1050k|01-08 14:35:39.247
   0     0 :   0  4096B:2465k  221k|01-08 14:35:40.247
   0     0 :   0  4096B:  13M 8192B|01-08 14:35:41.247
   0     0 :   0  4096B:8115k 8192B|01-08 14:35:42.247
   0     0 :   0  4096B:3973k 8192B|01-08 14:35:43.247
   0     0 :1024B 5120B:5551k   10k|01-08 14:35:44.247
   0     0 : 418k  185k:3580k  730k|01-08 14:35:45.247
   0     0 : 605k  110k:3182k  748k|01-08 14:35:46.247
   0     0 :   0  4096B:2237k 8192B|01-08 14:35:47.247
   0     0 :   0  4096B:3139k 8192B|01-08 14:35:48.247
   0  4096B:   0  4096B:1994k   17k|01-08 14:35:49.247
   0  1456k:   0  4096B:5072k 3756k|01-08 14:35:50.247
   0  7524k:   0  4096B:9561k 7651k|01-08 14:35:51.247
   0  9917k:   0  4096B:  10M 9925k|01-08 14:35:52.247
   0   811k:   0  4096B:1211k  819k|01-08 14:35:53.247
   0     0 :   0  4096B:1427k 9216B|01-08 14:35:54.247
   0     0 :   0  4096B: 673k  408k|01-08 14:35:55.247
   0     0 :   0  4096B:1545k  507k|01-08 14:35:56.247
   0     0 :   0  4096B:1505k 8192B|01-08 14:35:57.247
   0     0 :   0  4096B:1430k 8192B|01-08 14:35:58.247
   0     0 :   0  4096B:3944k 9216B|01-08 14:35:59.247
   0     0 :   0  4096B:2021k  291k|01-08 14:36:00.247
   0     0 :   0  4096B:4041k 8192B|01-08 14:36:01.247
   0     0 :   0  4096B:2808k 8192B|01-08 14:36:02.247
   0     0 :   0  4096B:4102k 8192B|01-08 14:36:03.247
   0     0 :   0  4096B:1970k 8192B|01-08 14:36:04.247
   0     0 :   0  4096B:1526k  124k|01-08 14:36:05.247
   0     0 :4096B 4096B:2075k 8192B|01-08 14:36:06.247
   0     0 :   0  4096B:2863k 8192B|01-08 14:36:07.247
   0     0 :   0  4096B:1391k 8192B|01-08 14:36:08.247
   0     0 :   0  4096B:1653k   13k|01-08 14:36:09.247
   0     0 :   0  4096B:1643k 7800k|01-08 14:36:10.247
   0     0 :   0  4096B:  16k   83k|01-08 14:36:11.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:12.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:13.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:14.247
   0     0 :4848k  211k:4848k 5557k|01-08 14:36:15.247
   0     0 :  16k 5120B:  48k   63k|01-08 14:36:16.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:17.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:18.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:19.247
   0   512k:   0  4096B: 512k  528k|01-08 14:36:20.247
   0     0 :   0  4096B:   0    28k|01-08 14:36:21.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:22.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:23.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:24.247
   0     0 :   0  4096B:   0   544k|01-08 14:36:25.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:26.247
   0     0 :   0  4096B:   0    28k|01-08 14:36:27.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:28.247
   0     0 :   0  4096B:   0  8192B|01-08 14:36:29.247
   0     0 :   0  4096B:   0   104k|01-08 14:36:30.247
